Attribute:data,Attribute:val,
02/01/2003,30.05,
03/01/2003,30.83,
06/01/2003,30.71,
07/01/2003,29.72,
08/01/2003,28.86,
09/01/2003,29.51,
10/01/2003,29.82,
13/01/2003,29.82,
14/01/2003,30.21,
15/01/2003,30.66,
16/01/2003,30.87,
17/01/2003,31.02,
20/01/2003,31.21,
21/01/2003,30.9,
22/01/2003,30.89,
23/01/2003,30.18,
24/01/2003,30.56,
27/01/2003,30.16,
28/01/2003,29.83,
29/01/2003,30.3,
30/01/2003,30.58,
31/01/2003,30.71,
03/02/2003,30.29,
04/02/2003,29.98,
05/02/2003,30.52,
06/02/2003,30.77,
07/02/2003,31.25,
10/02/2003,31.38,
11/02/2003,31.35,
12/02/2003,31.3,
13/02/2003,31.91,
14/02/2003,32.33,
17/02/2003,31.9,
18/02/2003,31.85,
19/02/2003,31.95,
20/02/2003,31.48,
21/02/2003,31.84,
24/02/2003,32.44,
25/02/2003,32.73,
26/02/2003,32.49,
27/02/2003,32.48,
28/02/2003,32.63,
03/03/2003,31.63,
04/03/2003,32.12,
05/03/2003,32.29,
06/03/2003,32.5,
07/03/2003,32.79,
10/03/2003,33.11,
11/03/2003,32.54,
12/03/2003,32.74,
13/03/2003,32.42,
14/03/2003,30.98,
17/03/2003,29.8,
18/03/2003,27.69,
19/03/2003,27.12,
20/03/2003,26.51,
21/03/2003,24.81,
24/03/2003,25.7,
25/03/2003,26.84,
26/03/2003,25.54,
27/03/2003,26.66,
28/03/2003,27.23,
31/03/2003,27.22,
01/04/2003,26.8,
02/04/2003,25.76,
03/04/2003,26,
04/04/2003,25.38,
07/04/2003,24.91,
08/04/2003,25.33,
09/04/2003,25.59,
10/04/2003,25.4,
11/04/2003,24.96,
14/04/2003,25.35,
15/04/2003,25.56,
16/04/2003,25.71,
17/04/2003,26.25,
21/04/2003,26.64,
22/04/2003,26.24,
23/04/2003,25.14,
24/04/2003,23.97,
25/04/2003,24.4,
28/04/2003,23.64,
29/04/2003,23.27,
30/04/2003,23.72,
01/05/2003,23.85,
02/05/2003,23.84,
05/05/2003,23.99,
06/05/2003,23.92,
07/05/2003,23.89,
08/05/2003,24.44,
09/05/2003,25.14,
12/05/2003,25.32,
13/05/2003,25.41,
14/05/2003,26.13,
15/05/2003,26.21,
16/05/2003,26.24,
19/05/2003,26.53,
20/05/2003,26.1,
21/05/2003,26.64,
22/05/2003,26.53,
23/05/2003,26.85,
26/05/2003,26.87,
27/05/2003,26.48,
28/05/2003,26.49,
29/05/2003,26.27,
30/05/2003,26.71,
02/06/2003,27.1,
03/06/2003,27.09,
04/06/2003,26.72,
05/06/2003,26.77,
06/06/2003,27.3,
09/06/2003,27.53,
10/06/2003,27.51,
11/06/2003,27.86,
12/06/2003,27.48,
13/06/2003,26.7,
16/06/2003,26.44,
17/06/2003,26.37,
18/06/2003,25.88,
19/06/2003,25.6,
20/06/2003,26.34,
23/06/2003,26.54,
24/06/2003,26.26,
25/06/2003,26.58,
26/06/2003,26.62,
27/06/2003,26.55,
30/06/2003,27.11,
01/07/2003,27.19,
02/07/2003,27.31,
03/07/2003,27.6,
04/07/2003,27.19,
07/07/2003,27.04,
08/07/2003,26.83,
09/07/2003,27.43,
10/07/2003,27.98,
11/07/2003,28.14,
14/07/2003,28.02,
15/07/2003,27.98,
16/07/2003,27.87,
17/07/2003,27.93,
18/07/2003,28.23,
21/07/2003,27.98,
22/07/2003,27.17,
23/07/2003,27,
24/07/2003,27.23,
25/07/2003,27.38,
28/07/2003,27.02,
29/07/2003,27.18,
30/07/2003,27.31,
31/07/2003,27.52,
01/08/2003,28.21,
04/08/2003,28.66,
05/08/2003,28.8,
06/08/2003,28.88,
07/08/2003,29.07,
08/08/2003,29.22,
11/08/2003,29.02,
12/08/2003,28.97,
13/08/2003,28.61,
