Column1,Futures & Indexes,Last,Change,% Change,Last Updated
,WTI Crude,56.52,0.52,"+0.93%(7
	Hours Delay)","(7
	Hours Delay)"
,Brent Crude,60.47,0.65,"+1.09%(7
	Hours Delay)","(7
	Hours Delay)"
,Murban Crude,62.04,0.83,+1.36%(16 Minutes Delay),(16 Minutes Delay)
,Natural Gas,3.984,0.076,"+1.94%(7
	Hours Delay)","(7
	Hours Delay)"
,Gasoline,1.708,0.007,"+0.41%(7
	Hours Delay)","(7
	Hours Delay)"
,Heating Oil,2.122,-0.01,"-0.46%(7
	Hours Delay)","(7
	Hours Delay)"
,WTI Midland,57.29,0.56,"+0.99%(9
	Hours Delay)","(9
	Hours Delay)"
,Mars,63.5,-0.53,-0.83%,
,Opec Basket,59.56,0.02,"+0.03%(3
	days Delay)","(3
	days Delay)"
,DME Oman,60.15,1.09,"+1.85%(2
	days Delay)","(2
	days Delay)"
,Mexican Basket,52.24,0.69,"+1.34%(3
	days Delay)","(3
	days Delay)"
,Indian Basket,60.5,0.47,"+0.78%(2
	days Delay)","(2
	days Delay)"
,Urals,49.52,-0.8,"-1.59%(2
	days Delay)","(2
	days Delay)"
,Western Canadian Select,43.65,0.19,"+0.44%(23
	Hours Delay)","(23
	Hours Delay)"
,AECO C natural gas,2.06,0.06,"+3.00%(2
	days Delay)","(2
	days Delay)"
,Dubai,61.41,0.42,"+0.69%(2
	days Delay)","(2
	days Delay)"
,Brent Weighted Average,59.98,0.6,"+1.01%(2
	days Delay)","(2
	days Delay)"
,Louisiana Light,57.67,-0.85,"-1.45%(3
	days Delay)","(3
	days Delay)"
,Domestic Swt. @ Cushing,52.63,0.88,"+1.70%(2
	days Delay)","(2
	days Delay)"
,Giddings,46.38,0.88,"+1.93%(2
	days Delay)","(2
	days Delay)"
,ANS West Coast,60.07,-1.5,"-2.44%(3
	days Delay)","(3
	days Delay)"
,Gulf Coast HSFO,49.7,0.61,"+1.24%(2
	days Delay)","(2
	days Delay)"
,Ethanol,1.575,-0.02,"-1.25%(7
	Hours Delay)","(7
	Hours Delay)"
,Dutch TTF Natural Gas,9.523,0.27,"+2.91%(2
	days Delay)","(2
	days Delay)"
,LNG Japan/Korea Marker,9.555,-1.11,"-10.38%(2
	days Delay)","(2
	days Delay)"
